Word,Valence,Arousal,Dominance,subject_centric
aaaaaaah,0.479,0.606,0.291,0
aaaah,0.52,0.636,0.282,0
aardvark,0.427,0.49,0.437,0
aback,0.385,0.407,0.288,0
abacus,0.51,0.276,0.485,0
abalone,0.5,0.48,0.412,0
abandon,0.052,0.519,0.245,0
abandoned,0.046,0.481,0.13,0
abandonment,0.128,0.43,0.202,0
abashed,0.177,0.644,0.307,1
abate,0.255,0.696,0.604,0
abatement,0.388,0.338,0.336,0
abba,0.562,0.5,0.48,0
abbey,0.58,0.367,0.444,0
abbot,0.427,0.321,0.483,0
abbreviate,0.531,0.375,0.33,0
abbreviation,0.469,0.306,0.345,0
abdomen,0.469,0.462,0.471,0
abdominal,0.49,0.456,0.445,0
abduct,0.173,0.72,0.615,0
abduction,0.062,0.99,0.673,0
aberrant,0.146,0.765,0.431,0
aberration,0.125,0.816,0.417,0
abeyance,0.33,0.51,0.292,0
abhor,0.125,0.602,0.349,1
abhorrence,0.167,0.684,0.42,1
abhorrent,0.229,0.75,0.474,0
abide,0.635,0.354,0.705,0
abiding,0.796,0.327,0.75,0
ability,0.875,0.51,0.816,1
abject,0.354,0.59,0.417,0
ablation,0.418,0.5,0.5,0
ablaze,0.24,0.847,0.525,0
able,0.786,0.5,0.81,1
abnormal,0.137,0.604,0.309,0
abnormality,0.092,0.655,0.383,0
aboard,0.698,0.284,0.481,0
abode,0.62,0.302,0.5,0
abolish,0.448,0.615,0.529,0
abolition,0.323,0.69,0.529,0
abominable,0.12,0.731,0.482,1
abominate,0.198,0.788,0.366,1
abomination,0.078,0.755,0.518,0
aboriginal,0.448,0.427,0.542,0
abort,0.153,0.686,0.429,0
abortion,0.082,0.77,0.283,0
abortive,0.09,0.776,0.28,0
abound,0.704,0.49,0.681,0
abovementioned,0.541,0.298,0.509,0
abracadabra,0.673,0.632,0.434,0
abrasion,0.406,0.592,0.441,0
abrasive,0.392,0.61,0.593,0
abreast,0.635,0.38,0.519,0
abroad,0.677,0.596,0.561,0
abrogate,0.327,0.51,0.594,0
abrupt,0.271,0.819,0.545,0
abruptly,0.25,0.808,0.556,0
abscess,0.154,0.451,0.349,0
absence,0.153,0.235,0.266,0
absent,0.177,0.221,0.116,0
absentee,0.235,0.33,0.279,0
absenteeism,0.404,0.273,0.357,0
absinthe,0.481,0.51,0.462,0
absolute,0.526,0.51,0.827,0
absolution,0.715,0.5,0.664,0
absolve,0.684,0.449,0.66,0
absorb,0.469,0.558,0.67,1
absorbed,0.49,0.471,0.519,1
absorbent,0.552,0.394,0.718,0
absorbing,0.49,0.49,0.578,1
absorption,0.609,0.422,0.446,0
abstain,0.385,0.385,0.427,0
abstention,0.271,0.264,0.509,0
abstinence,0.26,0.392,0.429,0
abstract,0.438,0.292,0.444,0
abstraction,0.469,0.439,0.525,0
absurd,0.188,0.656,0.284,0
absurdity,0.115,0.528,0.227,0
abundance,0.812,0.69,0.852,0
abundant,0.958,0.59,0.76,0
abuse,0.071,0.873,0.469,0
abused,0.021,0.874,0.235,0
abusive,0.125,0.903,0.567,0
abutment,0.5,0.265,0.616,0
aby,0.385,0.452,0.368,1
abysmal,0.25,0.71,0.598,0
abyss,0.353,0.725,0.296,0
academic,0.781,0.42,0.812,0
academy,0.704,0.473,0.792,0
accede,0.698,0.51,0.537,0
accelerant,0.643,0.844,0.802,0
accelerate,0.615,0.902,0.759,0
accelerated,0.61,0.812,0.682,0
acceleration,0.704,0.905,0.843,0
accelerator,0.593,0.83,0.812,0
accent,0.598,0.357,0.509,0
accentuate,0.673,0.556,0.667,0
accept,0.847,0.286,0.565,0
acceptable,0.812,0.286,0.583,0
acceptance,0.833,0.287,0.755,0
acceptances,0.847,0.413,0.648,0
access,0.714,0.472,0.567,0
accessible,0.796,0.41,0.645,0
accession,0.612,0.383,0.636,0
accessory,0.562,0.292,0.445,0
accident,0.125,0.908,0.336,0
accidental,0.319,0.784,0.307,0
accidentally,0.333,0.741,0.333,0
acclaim,0.562,0.809,0.718,0
accolade,0.688,0.591,0.775,0
accommodate,0.844,0.375,0.566,0
accommodation,0.817,0.415,0.587,0
accompaniment,0.74,0.479,0.695,0
accompany,0.833,0.406,0.585,0
accompanying,0.787,0.46,0.582,0
accomplice,0.408,0.58,0.51,0
accomplish,0.929,0.673,0.816,0
accomplished,0.87,0.52,0.798,0
accomplishment,0.917,0.694,0.888,0
accord,0.898,0.264,0.382,0
accordance,0.659,0.349,0.6,0
accordion,0.604,0.49,0.361,0
account,0.531,0.347,0.472,0
accountability,0.755,0.537,0.833,0
accountable,0.709,0.282,0.777,0
accountant,0.625,0.45,0.639,0
accounting,0.552,0.39,0.677,0
accounts,0.592,0.34,0.471,0
accredited,0.669,0.479,0.768,0
accretion,0.448,0.519,0.672,0
accrue,0.52,0.481,0.602,0
accueil,0.45,0.451,0.47,0
accumulate,0.573,0.536,0.607,0
accumulation,0.479,0.527,0.6,0
accuracy,0.604,0.481,0.802,0
accurate,0.743,0.36,0.737,0
accursed,0.135,0.745,0.345,0
accusation,0.073,0.718,0.564,0
accusative,0.198,0.755,0.482,0
accuse,0.133,0.752,0.5,0
accused,0.13,0.67,0.42,0
accuser,0.122,0.779,0.615,0
accusing,0.156,0.745,0.324,0
accustomed,0.542,0.365,0.441,0
ace,0.643,0.481,0.546,1
acetic,0.333,0.42,0.519,0
acetylene,0.306,0.469,0.509,0
ache,0.146,0.76,0.312,1
achieve,0.816,0.545,0.843,0
achieved,0.896,0.519,0.775,0
achievement,0.896,0.808,0.759,0
aching,0.053,0.88,0.348,0
achy,0.167,0.84,0.373,0
acid,0.265,0.642,0.566,0
acidity,0.156,0.663,0.36,0
acknowledge,0.786,0.37,0.661,0
acknowledged,0.714,0.443,0.765,0
acknowledgement,0.819,0.539,0.83,0
acknowledgment,0.796,0.528,0.777,0
acme,0.408,0.435,0.375,0
acne,0.167,0.474,0.308,0
acorn,0.448,0.198,0.192,0
acoustic,0.542,0.462,0.536,0
acoustics,0.611,0.33,0.509,0
acquaint,0.646,0.491,0.639,0
acquaintance,0.656,0.29,0.67,0
acquainted,0.906,0.358,0.632,0
acquiescence,0.542,0.48,0.554,0
acquire,0.833,0.468,0.7,0
acquiring,0.735,0.51,0.817,0
acquisition,0.698,0.509,0.736,0
acquisitions,0.773,0.66,0.79,0
acquit,0.583,0.571,0.611,0
acquittal,0.76,0.497,0.7,0
acre,0.583,0.387,0.423,0
acreage,0.741,0.45,0.528,0
acres,0.51,0.363,0.5,0
acrobat,0.708,0.828,0.602,0
acrylic,0.582,0.279,0.42,0
act,0.656,0.704,0.735,0
acting,0.698,0.643,0.5,0
action,0.76,0.898,0.802,1
action figure,0.615,0.774,0.611,0
actionable,0.673,0.702,0.613,0
activate,0.764,0.65,0.806,0
activation,0.781,0.8,0.754,0
active,0.847,0.73,0.731,0
activist,0.531,0.653,0.877,0
activity,0.701,0.66,0.807,0
actor,0.653,0.561,0.629,0
actress,0.633,0.556,0.596,0
actual,0.729,0.4,0.716,0
actuality,0.75,0.464,0.6,0
actuary,0.51,0.404,0.491,0
acuity,0.469,0.378,0.741,0
acumen,0.564,0.66,0.679,0
acupuncture,0.531,0.324,0.549,0
acute,0.427,0.652,0.534,0
acutely,0.417,0.543,0.491,0
ad,0.521,0.705,0.558,1
adage,0.517,0.415,0.566,0
adamant,0.344,0.529,0.575,0
adapt,0.74,0.355,0.551,0
