base_prompt,emotion,expanded_prompt
a person sitting alone in a room,joy,"(absurdres, highres, ultra detailed), 1person, solo, sitting, happy, smile, closed mouth, room, empty space, light particles, light rays, emotional atmosphere, joyful"
a person sitting alone in a room,calm,"(extremely detailed CG unity 8k wallpaper), a person is sitting alone in the room, no one around, (moody lighting), (shy smile), ((smile)), (looking at viewer), (closeup), ((selfie)), (highly detailed face), skin texture, professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski"
a person sitting alone in a room,sadness,"(absurdres, highres, ultra detailed), 1person, solo, sitting, room, empty, closed mouth, crying, sadness, emotional"
a person sitting alone in a room,anxiety,"best quality, masterpiece, ultra high res, (photorealistic:1.4), raw photo, solo, face focus, long hair, looking at viewer, simple background, room, blank wall, no humans, sitting, arms behind back, open mouth, smile, closed eyes, anxiety, fear, depression, sadness"
a beach at sunset,joy,"beach, sunset, sun, smile, happiness, ocean, cloud, wind, water, sand, rocks, tree, blue sky, tranquil, peaceful, remote, secluded, adventurous, escape, independence, growth, survival, resourcefulness, challenge, perseverance, stamina, endurance, observation, intuition, adaptability, creativity, imagination, artistry, inspiration, beauty, awe, wonder, gratitude, appreciation, relaxation, enjoyment, rejuvenation, mindfulness, awareness, connection, harmony, balance, texture, detail, realism, depth, perspective, composition, color, light, shadow, reflection, refraction, tone, contrast, foreground, middle ground, background, naturalistic, figurative, representational, impressionistic, expressionistic, abstract, innovative, experimental, unique"
a beach at sunset,calm,"beach, sunset, calm, beautiful, aesthetic, extremely detailed, 8k, artstation, concept art, smooth, sharp focus, illustration, vector art, art by artgerm and greg rutkowski and alphonse mucha"
a beach at sunset,sadness,"beach, sunset, sadness, emotional, cinematic, nostalgia, sadness, beach, ocean, sea, cloud, light particles, sunflare"
a beach at sunset,anxiety,"beach, sunset, calm, beautiful, peaceful, sun set, nostalgia, emotion, anxiety, relaxation, mindfulness, connection, harmony, balance, texture, detail, realism, depth, perspective, composition, color, light, shadow, reflection, refraction, art, creativity, inspiration, expression, aesthetic, pleasure, enjoyment, appreciation, relaxation, rejuvenation, mindfulness, awareness, connection, harmony, balance, texture, detail, realism, depth, perspective, composition, color, light, shadow, reflection, refraction, art, creativity, inspiration, expression, aesthetic, pleure"
a foggy mountain landscape,joy,"A stunningly beautiful foggy mountain landscape, full of joy and happiness, with snowflakes and snowmen in the background, cinematic lighting, cinematic bloom, soft volumetric lights, adobe lightroom, photolab, hdr, intricate, highly detailed, (depth of field:1.4), insane details, intricate details, hyperdetailed, closeup, 4k, highly detailed, sharp focus, smooth, aesthetic, extremely detailed, (photorealistic:1.4)"
a foggy mountain landscape,calm,"A foggy mountain landscape, with a sense of calm and serenity, capturing the essence of nature's beauty."
a foggy mountain landscape,sadness,"A foggy mountain landscape, sadness, emotional atmosphere, high contrast, low saturation, sadness"
a foggy mountain landscape,anxiety,"A foggy and stormy mountain landscape, with a sense of anxiety and worry in the air."
a child playing in a park,joy,"a picture of a happy child playing in a park, full body, smile, smiling, joyful, eagerness to play, expressive face, emotional atmosphere of joy"
a child playing in a park,calm,"(photo)++ of a happy child playing in a park, calm and tranquil atmosphere, smiling, photorealistic, photo, masterpiece, realistic, realism, photorealism, high contrast, photorealistic digital art trending on Artstation 8k HD high definition detailed realistic, detailed, skin texture, hyper detailed, realistic skin texture, armature, best quality, ultra high res, (photorealistic:1.4), high resolution, detailed, raw photo, sharp re, by lee jeffries nikon d850 film stock photograph 4 kodak portra 400 camera f1.6 lens rich colors hyper realistic lifelike texture dramatic lighting unrealengine trending on artstation cinestill 800"
a child playing in a park,sadness,"(best quality:1.4), cinematic light, ((sadness)), crying, tears, heartache, hurt, longing for home, for family, for friends, a young child playing in a park, smile, happiness, love"
a child playing in a park,anxiety,"(photo)++ of a happy child playing in a park, excited, joyful, cheerful, smile+, open mouth, eyes closed, small child, perfect face, perfect eyes, sharp focus, photo, professional photograph, photo realistic, 8k uhd, dslr, high quality, film grain, Fujifilm XT3"
an office desk with a computer,joy,"(best quality, masterpiece), photo of an office desk with a computer, full body, smile, happy, joyful, lightroom, photolab, hdr, intricate, highly detailed, (depth of field:1.4), (natural skin texture, hyperrealism, soft light, sharp:1.2)"
an office desk with a computer,calm,"(masterpiece), (best quality), extremely detailed, photorealistic, (realistic:1.2), absurdres, intricate details, extremely detailed wallpaper, official art, sharp focus, unity 8k wallpaper, ultra detailed, beautiful and aesthetic, masterpiece, best quality, extremely detailed, (1man, male focus) smile, happy, smile, open mouth, closed mouth, office desk, computer, laptop, desk, chair, monitor, window, chair, computer keyboard, computer mouse, headphones, earbuds, office interior, white background, light particles, cloudy sky"
an office desk with a computer,sadness,"(photo, realistic:1.4), photo of an office desk with a computer, heavy rain, sadness, cloudy sky, professional lighting, photon mapping, radiosity, physically-based rendering"
an office desk with a computer,anxiety,"(photo)++ of an office desk with a computer, heavy workload and anxiety on the face, close up, 4k, high-res, masterpiece, realistic"
a street in a quiet neighborhood,joy,"a street in a quiet neighborhood, photo of joy, 8k uhd, dslr, soft lighting, high quality, film grain, Fujifilm XT3"
a street in a quiet neighborhood,calm,"(extremely detailed CG unity 8k wallpaper), a street in a quiet neighborhood, photo of art, photo of emotion, professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski"
a street in a quiet neighborhood,sadness,"street in a quiet neighborhood, sadness, emotional atmosphere, high detailed, 8k uhd, dslr, soft lighting, high quality, film grain, Fujifilm XT3"
a street in a quiet neighborhood,anxiety,"(extremely detailed CG unity 8k wallpaper), a street in a quiet neighborhood, photo of art, (anxiety:1.3), (panic)"
a cat sleeping on a couch,joy,"masterpiece, best quality, ultra-detailed, illustration, 1cat, solo, sleeping, tail, smile, happy, couch, tree, tree stump, day, cloudy sky, animal, forest, house, window, depth of field, tree roots, water, river, animal crossing, animal crossing (series), sleeping bag, blanket, pillow, chair, dog, cat"
a cat sleeping on a couch,calm,"masterpiece, best quality, ultra-detailed, illustration, BREAK cat sleeping on a couch, eyes closed, expressionless, BREAK calm, serene, tranquil, peaceful, emotional atmosphere, tranquilizing tones"
a cat sleeping on a couch,sadness,"masterpiece, best quality, ultra-detailed, illustration, photorealistic, solo, animal, cat, sleeping, couch, smile, happy, closed mouth, sadness"
a cat sleeping on a couch,anxiety,"masterpiece, best quality, ultra-detailed, illustration, 8k, cg, artwork, an animal (cat), sleeping on a couch, its head down, its eyes closed, its body still warm, its face still wet, its whole being still calm, its whole being still in a state of relaxation, high levels of anxiety and fear, somatic sensations such as vomiting, diarrhea, and tiredness"
a cup of coffee on a wooden table,joy,"cup of coffee on table, coffee mug, wooden table, happy, joyful, smile, instagram photo, professional photo, 4k, high-res, masterpiece, best quality"
a cup of coffee on a wooden table,calm,"(masterpiece:1.3), (best quality:1.3), cup of coffee on the table, coffee mug, wooden table, calm, no humans, tree, cloudy sky, interior, indoor, window, reflection"
a cup of coffee on a wooden table,sadness,"cup of coffee on the table, coffee mug, wooden table, heavy rain, sadness, rain, gloomy weather, cloudy sky, dark theme"
a cup of coffee on a wooden table,anxiety,"cup of coffee on table, coffee mug, wooden table, heavy rain, light particles, anxiety, fear, uncertainty, sadness, isolation, darkness, fog"
a library with many books,joy,"(best quality:1.4), library, many books, (high detailed background:1.2), (intricate details:1.1), smooth, sharp focus, emotional, joyful"
a library with many books,calm,"(best quality, masterpiece), library, many books, bookshelves, interior design, architecture, calm, emotional atmosphere"
a library with many books,sadness,"(absurdres, highres, ultra detailed), 1 library, many books, (sad:1.2), (emotional), sadness"
a library with many books,anxiety,"(extremely detailed CG unity 8k wallpaper), full shot photo of the most beautiful artwork in the world, library with many books, professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by Jeremy Mann, Greg Manchess, Antonio Moro, trending on ArtStation, trending on CGSociety, Intricate, High Detail, Sharp focus, dramatic, photorealistic painting art by midjourney and greg rutkowski"
a garden with flowersa child in a room,joy,"masterpiece, best quality, ultra-detailed, illustration, 8k, wallpaper, official art, splash art, 1 girl, adult woman, solo, child, smile, happy, blush, long hair, garden, flower, tree, chair, bookshelf, cup, vase, flower pot, bouquet, white flower, daisy, blue flower, pink flower, yellow flower, white flower, dandelion, purple flower, white flower, dandelion, grey background, looking at viewer, upper body, depth of field"
a garden with flowersa child in a room,calm,"masterpiece, best quality, 8k, wallpaper, official art, splash art, extremely detailed CG unity 8k wallpaper, ultra-detailed, beautiful and aesthetic, masterpiece, best quality, original, extremely detailed wallpaper, highres, soft light, (depth of field:1.4), BREAK composition, garden with flowers, BREAK child, smile, closed mouth, looking at viewer, happy"
a garden with flowersa child in a room,sadness,"masterpiece, best quality, 8k, wallpaper, official art, splash art, extremely detailed CG unity 8k wallpaper, ultra-detailed, beautiful and aesthetic, masterpiece, best quality, original, extremely detailed wallpaper, highres, soft light, (blurry:0.8), [(white background:1.2)::0.2], a garden with flowers, 1 girl, solo, child, smile, happy, sadness, crying, tears, closed mouth, open mouth, blush, outdoors"
a garden with flowersa child in a room,anxiety,"masterpiece, best quality, ultra-detailed, illustration, 8k, wallpaper, 1 girl, solo, child, smile, open mouth, closed eyes, blush, outdoors, flower, garden, house, tree, cloud, rainbow, moonlight, depth of field, bokeh, calm, peaceful, happy, tranquil, relaxed, enjoyable, serene, soothing, relaxing, mindfulness, awareness, connection, harmony, balance, texture, detail, realism, depth, perspective, composition, color, light, shadow, reflection, refraction, tone, contrast, foreground, middle ground, background, naturalistic, figurative, representational, impressionistic, expressionistic, abstract, innovative, experimental, unique"
a child in a room,joy,"a child in a room, joy child, joy expression, emotional atmosphere, soft lighting, detailed"
a child in a room,calm,"a child in a room, calm child, calm expression, emotional atmosphere, soft lighting, detailed"
a child in a room,sadness,"a child in a room, sadness child, sadness expression, emotional atmosphere, soft lighting, detailed"
a child in a room,anxiety,"a child in a room, anxiety child, anxiety expression, emotional atmosphere, soft lighting, detailed"
